date,word,definition
2026-09-08,STONE,"A dense granite rock polished with a concave running band, delivered down the sheet toward the house."
2026-09-09,HOUSE,"The circular scoring target painted beneath the ice at each end, comprising concentric coloured rings and the button."
2026-09-10,SHEET,"The prepared, pebbled ice playing surface bounded by hog lines, tee lines, and backboards."
2026-09-11,BROOM,"The traditional sweeping implement historically made of corn straw, now replaced by modern synthetic brushes."
2026-09-12,BRUSH,A modern sweeping device with an adjustable synthetic fabric head used to control stone distance and curl.
2026-09-13,GUARD,A stone intentionally positioned in front of the house to shield counting stones or protect delivery lanes.
2026-09-14,DRAWS,Deliveries thrown with calibrated momentum designed to come to rest gently inside the house.
2026-09-15,SWEEP,"To brush the ice vigorously before a moving stone to reduce friction, maintain velocity, and hold a straighter line."
2026-09-16,SLIDE,"The smooth, balanced glide out from the hack executed on a low-friction Teflon or stainless steel slider."
2026-09-17,BITER,A stone that marginally touches the outer perimeter of the twelve-foot circle to qualify as a potential counting rock.
2026-09-18,HACKS,The rubber-lined foot supports anchored in the ice from which curlers push off to deliver stones.
2026-09-19,FROST,Airborne moisture freezing onto the pebbled sheet that increases drag and causes erratic stone deceleration.
2026-09-20,ROCKS,The common name for curling stones traditionally crafted from durable microgranite quarried on Ailsa Craig.
2026-09-21,SPLIT,A shot that strikes a stationary guard to propel both it and the delivered stone into scoring positions.
2026-09-22,HEAVY,A delivered stone thrown with greater velocity and momentum than requested by the skip's broom call.
2026-09-23,CLEAN,Lightly sweeping directly ahead of a stone to remove loose ice crumbs and debris without altering line.
2026-09-24,FORCE,A defensive tactical success in which the opponent holding the hammer is limited to scoring only a single point.
2026-09-25,STEAL,Scoring one or more points in an end without having the advantage of the last-stone hammer.
2026-09-26,GLIDE,The balanced forward motion of a delivering curler riding the slider smoothly down the centre line.
2026-09-27,CURLS,The lateral curved arc a rotating stone traces across the pebble as it travels toward the target.
2026-09-28,EXTRA,A sudden-death tiebreaker end contested when the match score remains deadlocked after regulation play.
2026-09-29,LINES,The delivery trajectories and visual paths toward the broom designated by the skip in the house.
2026-09-30,PEELS,High-velocity takeout deliveries designed to strike an opponent stone and roll both rocks completely out of play.
2026-10-01,TRACK,A grooved or heavily swept path on the sheet where delivered stones tend to follow a consistent run.
2026-10-02,BOARD,The wooden bumper or padded perimeter structure enclosing the ice sheet behind each hack.
2026-10-03,TURNS,"The rotational handles applied to the stone at release, categorized as either an in-turn or out-turn."
2026-10-04,SHOTS,The sequence of sixteen stones delivered alternately by two opposing teams throughout each end.
2026-10-05,ANGLE,"The precise geometric alignment needed on carom, hit-and-roll, and promotion deliveries."
2026-10-06,LIGHT,A stone thrown with insufficient weight that stalls and stops well short of the skip's intended target.
2026-10-07,WICKS,Delicate carom shots that glance lightly off the edge of a stationary rock to redirect toward the house.
2026-10-08,HOOKS,"A sudden, sharp increase in lateral curl that occurs as a decelerating stone expends its forward momentum."
2026-10-09,EDGES,The precision-machined inner and outer contact borders defining the stone's circular running band.
2026-10-10,RINGS,"The concentric coloured four-foot, eight-foot, and twelve-foot circles that make up the house."
2026-10-11,SPEED,"The pace of the ice sheet, calibrated in seconds required for a stone to travel from hog line to tee line."
2026-10-12,HEADS,The replaceable sweeping components featuring specialized fabric and foam padding mounted on brush handles.
2026-10-13,MATCH,A formal competitive game between two teams contested over a regulation schedule of eight or ten ends.
2026-10-14,SCORE,The progressive tally of points earned by counting stones across completed ends of play.
2026-10-15,CLOCK,The official game timer displaying each team's allotted strategic thinking time during a match.
2026-10-16,BRIEF,A concise tactical conference held between ends or during a timeout to align strategy and read sheet conditions.
2026-10-17,AILSA,"The Scottish island of Ailsa Craig, renowned globally as the primary source of premium curling stone granite."
2026-10-18,BRIER,"Canada's historic national men's curling championship tournament, inaugurated in 1927."
2026-10-19,JONES,"Jennifer Jones, legendary Canadian skip who captured Olympic gold and six national Scotties titles."
2026-10-20,HOMAN,"Rachel Homan, elite world champion skip and multi-time Canadian national women's champion."
2026-10-21,MOUAT,"Bruce Mouat, world champion skip and Olympic silver medalist who directs Scotland's top men's team."
2026-10-22,SCOTT,The historic long-term sponsor name indelibly linked with the Canadian women's national Scotties tournament.
2026-10-23,POINT,A scoring unit awarded for each stone resting closer to the tee than any stone delivered by the opposing team.
2026-10-24,FIRST,The lead player who opens the end by throwing the team's initial two stones and establishing early positioning.
2026-10-25,THIRD,The vice-skip who delivers the fifth and sixth stones and takes over house strategy when the skip delivers.
2026-10-26,ORDER,The mandatory throwing lineup of four players registered prior to the start of a competitive game.
2026-10-27,THROW,"The physical act of initiating the push from the hack, sliding forward, and cleanly releasing the stone."
2026-10-28,STAND,The stationary posture or delivery stance used by stick curlers delivering rocks without sliding from the hack.
2026-10-29,STICK,"An adaptive delivery cue attached to the stone handle, permitted in wheelchair and stick curling disciplines."
2026-10-30,CHAIR,Adaptive mobility equipment used by wheelchair curlers who deliver stones from a stationary position without sweeping.
2026-10-31,GAUGE,A specialized thermal instrument used by ice technicians to monitor ice and subfloor brine temperatures.
2026-11-01,BLANK,"An end that concludes with no stones in the house, allowing the team that delivered last to retain the hammer."
2026-11-02,SLICK,"Keen, fast ice characterized by minimal surface friction that yields extended stone travel with little effort."
2026-11-03,RISER,A promotion shot that strikes a stationary guard stone and advances it directly forward into the scoring house.
2026-11-04,WATER,Purified deionized liquid applied across the sheet through specialized nozzles to form uniform ice pebbles.
2026-11-05,CHIPS,Thin takeout shots designed to graze just enough of an opponent guard to remove it while preserving line.
2026-11-06,ROLLS,The predictable sideways deflection of a delivering rock after striking an opponent stone.
2026-11-07,FLICK,"A subtle, controlled wrist motion used upon release to apply positive, uniform handle rotation."
2026-11-08,BURNT,"A stone illegally contacted by a player's body, shoe, or equipment while in motion along the sheet."
2026-11-09,CHILL,The mechanical refrigeration process that circulates coolant beneath the floor to maintain consistent ice hardness.
2026-11-10,LEVEL,The true horizontal plane required across competition sheets to eliminate side-to-side drift or fall.
2026-11-11,SIGHT,The skip's visual alignment down the sheet when positioning the broom target for the delivering player.
2026-11-12,LASER,A high-precision optical device utilized by tournament umpires to determine which stone lies closest to the pin.
2026-11-13,PITCH,"The subtle slope, fall, or crown across an ice sheet that alters the natural draw path of rotating stones."
2026-11-14,PUNCH,"Delivering a stone with firm, forceful takeout weight to blast through guards and clear the house."
2026-11-15,CLOTH,The certified synthetic woven fabric stretched over tournament brush heads to sweep competition ice.
2026-11-16,FLATS,"Shed areas where the ice lacks standard lateral curl, causing stones to run exceptionally straight."
2026-11-17,TIMER,An accredited technical official or digital system managing thinking-time clocks for both competing teams.
2026-11-18,TOUCH,The refined sensory feel and weight control a curler relies on to throw precise draw weight consistently.
2026-11-19,BRAKE,The natural deceleration exerted on a traveling stone as it contacts ice pebble and gradually expends momentum.
2026-11-20,MIXED,A traditional four-person curling discipline contested with alternating female and male athletes.
2026-11-21,FRONT,The front-end duo of lead and second whose tactical duties include setting early rocks and heavy sweeping.
2026-11-22,CRUST,Fragile surface frost accumulation on the pebble tops caused by elevated humidity inside the ice shed.
2026-11-23,FLOAT,The effortless forward glide of a stone traversing an exceptionally keen and clean section of ice.
2026-11-24,GRIPS,High-traction rubber slip-on footwear worn over shoes to provide secure footing on slippery ice.
2026-11-25,BUNCH,A tight cluster of several stones gathered closely inside the four-foot ring or directly on the button.
2026-11-26,BLADE,The razor-sharp nickel or steel cutting edge mounted on an ice scraper used to plane high spots from the sheet.
2026-11-27,STAMP,The official World Curling certification emblem printed on approved tournament brush heads and fabrics.
2026-11-28,WIDER,A skip's tactical command directing the delivering curler to aim outside the standard broom line.
2026-11-29,NIPPY,"A brisk, cold shed temperature that preserves pebble integrity and keeps stone travel crisp."
2026-11-30,SHAVE,Precision shaving of the ice sheet with a motorized scraper to eliminate ridges and create a flat playing field.
2026-12-01,PIVOT,The vertical rotational axis around which a stone spins upon its hollowed circular running band.
2026-12-02,SHORT,A delivery thrown with deficient weight that stalls and stops well ahead of the desired target zone.
2026-12-03,HEELS,The rear portion of curling sliders where balance and body weight are centred during the slide.
2026-12-04,CROWD,Arena spectators who maintain quiet during delivery out of respect and cheer following great shot execution.
2026-12-05,TEAMS,"Units of four athletes, or pairs in mixed doubles, working cooperatively through delivery and sweeping."
2026-12-06,RULES,"The codified international laws established by World Curling governing fair play, equipment, and scoring."
2026-12-07,EVENT,"A sanctioned bonspiel, tour competition, or championship staging multiple draws across several days."
